"Position","Value"
20,0.755318124569955
21,0.945375943899836
22,1.13083172110945
23,1.34722240127686
24,1.50743661073811
25,1.7070273545792
26,1.88653222717879
27,2.0661743448086
28,2.19197787245743
29,2.28481815833807
30,2.28678450648825
31,2.27311521027014
32,2.24546000610284
33,2.21310909936569
34,2.10308111101783
35,1.94397116509858
36,1.79744684618612
37,1.66996685108199
38,1.51849931321157
39,1.41465762381509
40,1.25748527027068
41,0.997634683709298
42,0.736067593451073
43,0.53668576371087
44,0.433081630254066
45,0.284168615395132
46,0.227194994104549
47,0.229529113174653
48,0.193353124117077
49,0.341219161150488
50,0.394197324730082
51,0.531535660411922
52,0.589172481148311
53,0.630472201705433
54,0.703756897918833
55,0.852957227528577
56,0.970066146881965
57,1.10702747388978
58,1.20938160346132
59,1.26977731810157
60,1.32426849609047
61,1.33268777439262
62,1.30308452509666
63,1.3209605196103
64,1.25425275565699
65,1.21532924134596
66,1.11865470716168
67,0.998843476633431
68,0.831588930948704
69,0.708300302997379
70,0.606068496775324
71,0.473669424389574
72,0.29472970939141
73,0.173760567778887
74,0.078422198088028
75,-0.00804712760469842
76,-0.0829804510275585
77,-0.0821663878124921
78,-0.0813990640063627
79,-0.0473964096104485
80,-0.00867206767608855
81,0.023977060185984
82,0.0477960066014354
83,0.0909074126690054
84,0.198348541840863
85,0.307308944462187
86,0.453749356454791
87,0.491716020067913
88,0.59105946947297
89,0.618494096090874
90,0.633546010095078
91,0.616784075728139
92,0.615516214010993
93,0.593775777126253
94,0.533548146194435
95,0.476397708560529
96,0.422121301332013
97,0.353792579192449
98,0.302381960379175
99,0.249444527735845
100,0.166711917299357
101,0.0824235293869933
102,-0.0355193667114385
103,-0.0800012408689498
104,-0.0938634191191056
105,-0.170406042599658
106,-0.245466310643328
107,-0.268164793999487
108,-0.31652628018889
109,-0.326218887644364
110,-0.321500775674485
111,-0.274885558035777
112,-0.278877963163718
113,-0.278592737984885
114,-0.257748105425571
115,-0.23890137354444
116,-0.237092233738655
117,-0.222506653784349
118,-0.211359767615304
119,-0.252267303889653
120,-0.253626514010577
121,-0.224000637707046
122,-0.206433310859125
123,-0.19537787658507
124,-0.130649263922799
125,-0.170026907270018
126,-0.164258197552125
127,-0.167030035467772
128,-0.17632887486198
129,-0.218456124603846
130,-0.208017124159333
131,-0.281399069837504
132,-0.330795099462445
133,-0.391321158328556
134,-0.401025471248163
135,-0.465794812583923
136,-0.447214684741347
137,-0.456212713801527
138,-0.525685855891351
139,-0.533958870851864
140,-0.522065105582706
141,-0.478606078874803
142,-0.454859356557125
143,-0.540809521519871
144,-0.564974651694754
145,-0.566689185418116
146,-0.595229759007311
147,-0.552438495844333
148,-0.519972965231254
149,-0.529031939891896
150,-0.535917237643128
151,-0.540999498905805
152,-0.534662805617121
153,-0.50682987408328
154,-0.520043842554436
155,-0.535552328280515
156,-0.556087977939137
157,-0.566018094994213
158,-0.559299002567203
159,-0.561704307289331
160,-0.515108270195637
161,-0.552953406352863
162,-0.588854287309964
163,-0.60346764970649
164,-0.69466290562452
165,-0.709542835669575
166,-0.729476879075275
167,-0.753693115613544
168,-0.735640286186328
169,-0.69867221910812
170,-0.794242672118616
171,-0.861127021156368
172,-0.864787826353973
173,-0.909914624313009
174,-0.890697422357049
175,-0.869651627398763
176,-0.845777986167976
177,-0.833458863034129
178,-0.775358678183544
179,-0.72826438141703
180,-0.676884177247095
181,-0.645677790101435
182,-0.603240644187476
183,-0.594844301947084
184,-0.593578737384486
185,-0.597031766652421
186,-0.619908422222824
187,-0.695074457890111
188,-0.720298408551136
189,-0.747078847351605
190,-0.756521685249453
191,-0.75731672801437
192,-0.798314954825427
193,-0.813898153063138
194,-0.807231023805781
195,-0.774469053231096
196,-0.735857520294175
197,-0.666428257165598
198,-0.552168888591805
199,-0.528131531530023
