"","Position","Value"
"1",20,0.258808746524278
"2",21,0.414789026645854
"3",22,0.385922100943377
"4",23,0.58706208825371
"5",24,0.942432011295413
"6",25,0.984939837723936
"7",26,0.911972508326126
"8",27,1.87891808289891
"9",28,2.65505104336994
"10",29,3.93336260857647
"11",30,3.8045037855723
"12",31,3.64266613108401
"13",32,3.59486833469812
"14",33,2.88730493635345
"15",34,2.5527769906462
"16",35,2.20545075299512
"17",36,1.84965029635972
"18",37,1.2509384815244
"19",38,1.15382505061315
"20",39,1.15646425428002
"21",40,0.400005724775959
"22",41,0.0548155077015089
"23",42,-0.12859208182835
"24",43,-0.161722620506629
"25",44,-0.284274310947272
"26",45,-0.17480809737309
"27",46,-0.405648355138355
"28",47,-0.474469230192395
"29",48,-0.495733800523601
"30",49,-0.360591945364165
"31",50,-0.398810804630169
"32",51,-0.430601541710866
"33",52,-0.269629272980221
"34",53,-0.0890402470919591
"35",54,0.071297331118428
"36",55,0.299277371935345
"37",56,0.330019950220076
"38",57,0.925398943280456
"39",58,1.24178959041769
"40",59,1.69495917911665
"41",60,1.88711883886934
"42",61,1.82839673141726
"43",62,1.7606371101787
"44",63,1.87299467619975
"45",64,1.71886462481935
"46",65,1.23152811023284
"47",66,1.39165672536588
"48",67,1.06528843955719
"49",68,1.1031864708451
"50",69,0.694975845471933
"51",70,0.399659055030643
"52",71,0.412739447128889
"53",72,-0.148718151659819
"54",73,-0.117321170671199
"55",74,-0.424443190858413
"56",75,-0.461592577094561
"57",76,-0.557150695821132
"58",77,-0.551879253923292
"59",78,-0.515932937777781
"60",79,-0.601952658221473
"61",80,-0.665852661767101
"62",81,-0.50271128663925
"63",82,-0.588957801676221
"64",83,-0.552886177338662
"65",84,-0.473068550684947
"66",85,-0.154929509479558
"67",86,-0.1400173470453
"68",87,0.00631329678188965
"69",88,0.157696389201861
"70",89,0.4822963597957
"71",90,0.634860859800625
"72",91,0.769555464320183
"73",92,0.787597406072564
"74",93,0.884546800968102
"75",94,0.855726056105718
"76",95,0.941218144779112
"77",96,0.673070663999944
"78",97,0.557842084604878
"79",98,0.567062441084036
"80",99,0.513558002364558
"81",100,0.188498034383123
"82",101,0.0726842190627711
"83",102,-0.186575504802015
"84",103,-0.0429371412633452
"85",104,-0.362160143605285
"86",105,-0.491396144964061
"87",106,-0.540704883707875
"88",107,-0.574960340285864
"89",108,-0.661341706162082
"90",109,-0.650693156703625
"91",110,-0.453794214356741
"92",111,-0.711633058949935
"93",112,-0.756306787675145
"94",113,-0.701424167806213
"95",114,-0.574622655952873
"96",115,-0.337013248260075
"97",116,-0.62327782784511
"98",117,-0.172420067325184
"99",118,-0.189820771047551
"100",119,0.117700368617392
"101",120,0.0539178719755911
"102",121,0.0752495891089845
"103",122,0.267016676893697
"104",123,0.120376210477162
"105",124,0.246205486785972
"106",125,0.350031229667722
"107",126,0.0354967318921862
"108",127,0.293607437449007
"109",128,-0.005494997755835
"110",129,0.0147565892307583
"111",130,-0.203020690026039
"112",131,-0.048782744043371
"113",132,-0.210542873229968
"114",133,-0.254896609829403
"115",134,-0.475561898123835
"116",135,-0.435829937214772
"117",136,-0.622167676669532
"118",137,-0.761002466640538
"119",138,-0.963897534837497
"120",139,-0.706896910801896
"121",140,-0.85165037097564
"122",141,-0.900001640899057
"123",142,-0.846278139220161
"124",143,-0.851938879331095
"125",144,-0.815941924466508
"126",145,-0.784262216434241
"127",146,-0.949346112329097
"128",147,-0.725170662261412
"129",148,-0.789849680159385
"130",149,-0.488400937867748
"131",150,-0.424358839429524
"132",151,-0.332068833578281
"133",152,-0.495655648332674
"134",153,-0.279441203931345
"135",154,-0.303834508765288
"136",155,-0.252841040037554
"137",156,-0.289588033041095
"138",157,-0.34399170953675
"139",158,-0.39867685929759
"140",159,-0.384317473857271
"141",160,-0.419561325791105
"142",161,-0.446711619813187
"143",162,-0.595388640381533
"144",163,-0.576332670469152
"145",164,-0.70072455942326
"146",165,-0.693111268317608
"147",166,-0.834250642414301
"148",167,-1.06199344048407
"149",168,-0.91075989597312
"150",169,-0.974147313090019
"151",170,-1.06611008276214
"152",171,-0.991598794840181
"153",172,-1.01961301187837
"154",173,-0.97864635779963
"155",174,-0.953977918247182
"156",175,-0.951010085314001
"157",176,-1.03505663707268
"158",177,-0.930508578486901
"159",178,-0.652213641708752
"160",179,-0.834968918165497
"161",180,-0.797010635856943
"162",181,-0.829426242193263
"163",182,-0.673225088098933
"164",183,-0.640946004306479
"165",184,-0.649879802752237
"166",185,-0.537860269335969
"167",186,-0.538173017408396
"168",187,-0.594223671225331
"169",188,-0.641835420818021
"170",189,-0.688411410090668
"171",190,-0.53636994466834
"172",191,-0.599757710057035
"173",192,-0.658265978626632
"174",193,-0.731262911127065
"175",194,-0.95801264699893
"176",195,-1.00951508012872
"177",196,-1.05597272664523
"178",197,-0.924283498758416
"179",198,-1.10767590363799
"180",199,-0.844318692443891
"181",200,-1.10196194759669
